id,lineage
"""OX231776""","""BA.5.1.4"""
"""OX257170""","""BA.5.1.4"""
"""OX161828""","""BA.5.1.4"""
"""OX220677""","""BA.5.1.4"""
"""OX224536""","""BA.5.1.4"""
"""OX233227""","""BA.5.1.4"""
"""OX218007""","""BA.5.1.4"""
"""OX225746""","""BA.5.1.4"""
"""OX228252""","""BA.5.1.4"""
"""OX249131""","""BA.5.1.4"""
"""OX261128""","""BA.5.1.4"""
"""OX227991""","""BA.5.1.4"""
"""OX228885""","""BA.5.1.4"""
"""OX114677""","""BA.5.1.4"""
"""OX235464""","""BA.5.1.4"""
"""OX215595""","""BA.5.1.4"""
"""OX227292""","""BA.5.1.4"""
"""OX226136""","""BA.5.1.4"""
"""OX216227""","""BA.5.1.4"""
"""OX222151""","""BA.5.1.4"""
"""OX231934""","""BA.5.1.4"""
"""OX228089""","""BA.5.1.4"""
"""OX216698""","""BA.5.1.4"""
"""OX237581""","""BA.5.1.4"""
"""OX234788""","""BA.5.1.4"""
"""OX163185""","""BA.5.1.4"""
"""OX234411""","""BA.5.1.4"""
"""OX218479""","""BA.5.1.4"""
"""OX236062""","""BA.5.1.4"""
"""OX190148""","""BA.5.1.4"""
"""OX252937""","""BA.5.1.4"""
"""OX247176""","""BA.5.1.4"""
"""OX272142""","""BA.5.1.4"""
"""OX217165""","""BA.5.1.4"""
"""OX158869""","""BA.5.1.4"""
"""OX271409""","""BA.5.1.4"""
"""OX217592""","""BA.5.1.4"""
"""OX248324""","""BA.5.1.4"""
"""OX248897""","""BA.5.1.4"""
"""OX239280""","""BA.5.1.4"""
"""OX227886""","""BA.5.1.4"""
"""OX233345""","""BA.5.1.4"""
"""OX220609""","""BA.5.1.4"""
"""OX219298""","""BA.5.1.4"""
"""OX247956""","""BA.5.1.4"""
"""OX188897""","""BA.5.1.4"""
"""OX253339""","""BA.5.1.4"""
"""OX233347""","""BA.5.1.4"""
"""OX255296""","""BA.5.1.4"""
"""OX264193""","""BA.5.1.4"""
"""ON679281""","""BA.2.59"""
"""ON608587""","""BA.2.59"""
"""ON739676""","""BA.2.59"""
"""ON250392""","""BA.2.59"""
"""ON115935""","""BA.2.59"""
"""ON786858""","""BA.2.59"""
"""ON270501""","""BA.2.59"""
"""ON418227""","""BA.2.59"""
"""ON539751""","""BA.2.59"""
"""ON549002""","""BA.2.59"""
"""ON618085""","""BA.2.59"""
"""ON566767""","""BA.2.59"""
"""ON846321""","""BA.2.59"""
"""ON632557""","""BA.2.59"""
"""ON698976""","""BA.2.59"""
"""ON234261""","""BA.2.59"""
"""ON139715""","""BA.2.59"""
"""ON401805""","""BA.2.59"""
"""ON883554""","""BA.2.59"""
"""ON717449""","""BA.2.59"""
"""ON566719""","""BA.2.59"""
"""ON694369""","""BA.2.59"""
"""ON596223""","""BA.2.59"""
"""ON336819""","""BA.2.59"""
"""ON610657""","""BA.2.59"""
"""ON588816""","""BA.2.59"""
"""ON654334""","""BA.2.59"""
"""ON862887""","""BA.2.59"""
"""ON775896""","""BA.2.59"""
"""ON373477""","""BA.2.59"""
"""ON717102""","""BA.2.59"""
"""ON775875""","""BA.2.59"""
"""OP067206""","""BA.2.59"""
"""ON742669""","""BA.2.59"""
"""ON035113""","""BA.2.59"""
"""ON882441""","""BA.2.59"""
"""ON887781""","""BA.2.59"""
"""ON913656""","""BA.2.59"""
"""ON716764""","""BA.2.59"""
"""ON111609""","""BA.2.59"""
"""ON682896""","""BA.2.59"""
"""ON742506""","""BA.2.59"""
"""ON503157""","""BA.2.59"""
"""ON151773""","""BA.2.59"""
"""ON503375""","""BA.2.59"""
"""ON687078""","""BA.2.59"""
"""ON451796""","""BA.2.59"""
"""ON717402""","""BA.2.59"""
"""ON788429""","""BA.2.59"""
"""ON399658""","""BA.2.59"""
"""OM093222""","""BA.1.6"""
"""OW091662""","""BA.1.6"""
"""OW278075""","""BA.1.6"""
"""OW742188""","""BA.1.6"""
"""OM197455""","""BA.1.6"""
"""OW857051""","""BA.1.6"""
"""OW484280""","""BA.1.6"""
"""ON622181""","""BA.1.6"""
"""OW788263""","""BA.1.6"""
"""OV956935""","""BA.1.6"""
"""OW798691""","""BA.1.6"""
"""OM330741""","""BA.1.6"""
"""OM425870""","""BA.1.6"""
"""OM357907""","""BA.1.6"""
"""OL717060""","""BA.1.6"""
"""OM223414""","""BA.1.6"""
"""OW811767""","""BA.1.6"""
"""ON118281""","""BA.1.6"""
"""OM166611""","""BA.1.6"""
"""OM891978""","""BA.1.6"""
"""OW796957""","""BA.1.6"""
"""ON044806""","""BA.1.6"""
"""OV734246""","""BA.1.6"""
"""OM561653""","""BA.1.6"""
"""OM073322""","""BA.1.6"""
"""OM168305""","""BA.1.6"""
"""OM437877""","""BA.1.6"""
"""OM717385""","""BA.1.6"""
"""OM645541""","""BA.1.6"""
"""OV748449""","""BA.1.6"""
"""OM877807""","""BA.1.6"""
"""OW517934""","""BA.1.6"""
"""OW784360""","""BA.1.6"""
"""OM334345""","""BA.1.6"""
"""OM167864""","""BA.1.6"""
"""OM187894""","""BA.1.6"""
"""OW458614""","""BA.1.6"""
"""OM391578""","""BA.1.6"""
"""OM426219""","""BA.1.6"""
"""ON043277""","""BA.1.6"""
"""OW052779""","""BA.1.6"""
"""OM427604""","""BA.1.6"""
"""OM427019""","""BA.1.6"""
"""OM318789""","""BA.1.6"""
"""OM071976""","""BA.1.6"""
"""OM448580""","""BA.1.6"""
"""OM257950""","""BA.1.6"""
"""OM166758""","""BA.1.6"""
"""OM439194""","""BA.1.6"""
"""OM955061""","""BA.1.6"""
"""OU117956""","""B.1.1.317"""
"""OU094531""","""B.1.1.317"""
"""OU132300""","""B.1.1.317"""
"""OU112195""","""B.1.1.317"""
"""OU093410""","""B.1.1.317"""
"""OU367980""","""B.1.1.317"""
"""OU087818""","""B.1.1.317"""
"""OU170329""","""B.1.1.317"""
"""OU081559""","""B.1.1.317"""
"""MW332232""","""B.1.1.317"""
"""OU097939""","""B.1.1.317"""
"""MW865814""","""B.1.1.317"""
"""OU081376""","""B.1.1.317"""
"""OU073307""","""B.1.1.317"""
"""OU366801""","""B.1.1.317"""
"""OU367089""","""B.1.1.317"""
"""OU367687""","""B.1.1.317"""
"""OU367310""","""B.1.1.317"""
"""OU186021""","""B.1.1.317"""
"""OU150987""","""B.1.1.317"""
"""OU093478""","""B.1.1.317"""
"""OU072649""","""B.1.1.317"""
"""OU095911""","""B.1.1.317"""
"""OU094567""","""B.1.1.317"""
"""OU370882""","""B.1.1.317"""
"""OU367019""","""B.1.1.317"""
"""OU080714""","""B.1.1.317"""
"""OU121475""","""B.1.1.317"""
"""OU079731""","""B.1.1.317"""
"""OU074839""","""B.1.1.317"""
"""OU086135""","""B.1.1.317"""
"""OU109929""","""B.1.1.317"""
"""OU138352""","""B.1.1.317"""
"""OU323340""","""B.1.1.317"""
"""OU098332""","""B.1.1.317"""
"""OU277972""","""B.1.1.317"""
"""OU086823""","""B.1.1.317"""
"""OU072646""","""B.1.1.317"""
"""OU094555""","""B.1.1.317"""
"""OU097138""","""B.1.1.317"""
"""OU121496""","""B.1.1.317"""
"""OU129239""","""B.1.1.317"""
"""OU110326""","""B.1.1.317"""
"""OK426953""","""B.1.1.317"""
"""OU073633""","""B.1.1.317"""
"""OU074168""","""B.1.1.317"""
"""OM098421""","""B.1.1.317"""
"""OU081799""","""B.1.1.317"""
"""OU084531""","""B.1.1.317"""
"""OU082734""","""B.1.1.317"""
"""MZ991408""","""AY.118"""
"""MZ698765""","""AY.118"""
"""OL374757""","""AY.118"""
"""OL715808""","""AY.118"""
"""OK163582""","""AY.118"""
"""OL357867""","""AY.118"""
"""OK610525""","""AY.118"""
"""MZ760996""","""AY.118"""
"""OK055752""","""AY.118"""
"""OL985086""","""AY.118"""
"""OK620541""","""AY.118"""
"""OK567314""","""AY.118"""
"""OK567927""","""AY.118"""
"""OK550423""","""AY.118"""
"""OL474667""","""AY.118"""
"""OK096317""","""AY.118"""
"""OL758117""","""AY.118"""
"""OK555160""","""AY.118"""
"""OK141518""","""AY.118"""
"""MZ809669""","""AY.118"""
"""OK593273""","""AY.118"""
"""OL528444""","""AY.118"""
"""OK085989""","""AY.118"""
"""MZ899851""","""AY.118"""
"""OK656371""","""AY.118"""
"""OL906698""","""AY.118"""
"""OM689341""","""AY.118"""
"""OL942313""","""AY.118"""
"""OM277067""","""AY.118"""
"""OK357707""","""AY.118"""
"""OK574100""","""AY.118"""
"""OM034776""","""AY.118"""
"""OL820963""","""AY.118"""
"""OM126700""","""AY.118"""
"""OL515332""","""AY.118"""
"""ON476170""","""AY.118"""
"""OK639791""","""AY.118"""
"""OK088284""","""AY.118"""
"""OK366252""","""AY.118"""
"""MZ769598""","""AY.118"""
"""OK549858""","""AY.118"""
"""OM041764""","""AY.118"""
"""OK343361""","""AY.118"""
"""OK196623""","""AY.118"""
"""OK386825""","""AY.118"""
"""OK095843""","""AY.118"""
"""OK374014""","""AY.118"""
"""OK369894""","""AY.118"""
"""OL618525""","""AY.118"""
"""OK586905""","""AY.118"""
"""MW669228""","""B.1.1.416"""
"""MZ506458""","""B.1.1.416"""
"""MW505419""","""B.1.1.416"""
"""MZ006554""","""B.1.1.416"""
"""MZ260238""","""B.1.1.416"""
"""MZ908171""","""B.1.1.416"""
"""MW702544""","""B.1.1.416"""
"""MZ471911""","""B.1.1.416"""
"""OK653684""","""B.1.1.416"""
"""MW707939""","""B.1.1.416"""
"""MZ471499""","""B.1.1.416"""
"""OK547625""","""B.1.1.416"""
"""OM252632""","""B.1.1.416"""
"""OL852376""","""B.1.1.416"""
"""MW420239""","""B.1.1.416"""
"""MW994764""","""B.1.1.416"""
"""OK653781""","""B.1.1.416"""
"""OL852451""","""B.1.1.416"""
"""OL372447""","""B.1.1.416"""
"""MW702004""","""B.1.1.416"""
"""MZ915446""","""B.1.1.416"""
"""MW733412""","""B.1.1.416"""
"""ON340123""","""B.1.1.416"""
"""MW923612""","""B.1.1.416"""
"""OM247446""","""B.1.1.416"""
"""OK653687""","""B.1.1.416"""
"""OM253926""","""B.1.1.416"""
"""OL365513""","""B.1.1.416"""
"""OM247092""","""B.1.1.416"""
"""OL852348""","""B.1.1.416"""
"""OP143423""","""B.1.1.416"""
"""MZ918159""","""B.1.1.416"""
"""MW549589""","""B.1.1.416"""
"""ON343486""","""B.1.1.416"""
"""MW636367""","""B.1.1.416"""
"""MZ570050""","""B.1.1.416"""
"""ON343026""","""B.1.1.416"""
"""ON339706""","""B.1.1.416"""
"""OK653337""","""B.1.1.416"""
"""ON216926""","""B.1.1.416"""
"""MW973192""","""B.1.1.416"""
"""MW858934""","""B.1.1.416"""
"""MW705188""","""B.1.1.416"""
"""MZ261569""","""B.1.1.416"""
"""MW708462""","""B.1.1.416"""
"""MW134097""","""B.1.1.416"""
"""MZ907761""","""B.1.1.416"""
"""MZ666528""","""B.1.1.416"""
"""MZ910189""","""B.1.1.416"""
"""MZ518196""","""B.1.1.416"""
"""MZ907182""","""B.1.340"""
"""MW861588""","""B.1.340"""
"""MW067705""","""B.1.340"""
"""MW861581""","""B.1.340"""
"""MZ313088""","""B.1.340"""
"""MW067706""","""B.1.340"""
"""MW925573""","""B.1.340"""
"""MZ312998""","""B.1.340"""
"""OK598404""","""B.1.340"""
"""MW928145""","""B.1.340"""
"""MW925632""","""B.1.340"""
"""MW923401""","""B.1.340"""
"""MW925394""","""B.1.340"""
"""MZ485922""","""B.1.340"""
"""MW907430""","""B.1.340"""
"""MW681013""","""B.1.340"""
"""ON174244""","""B.1.340"""
"""MW566827""","""B.1.340"""
"""MW197471""","""B.1.340"""
"""ON174243""","""B.1.340"""
"""MZ325203""","""B.1.340"""
"""MW130875""","""B.1.340"""
"""MW638822""","""B.1.340"""
"""MW420049""","""B.1.340"""
"""MW067703""","""B.1.340"""
"""MW309492""","""B.1.340"""
"""MW280529""","""B.1.340"""
"""OL825772""","""B.1.340"""
"""MW157247""","""B.1.340"""
"""MW521412""","""B.1.340"""
"""MW681007""","""B.1.340"""
"""MW681032""","""B.1.340"""
"""OL825770""","""B.1.340"""
"""MW925411""","""B.1.340"""
"""MZ233746""","""B.1.340"""
"""MW928355""","""B.1.340"""
"""MW166119""","""B.1.340"""
"""OK659205""","""B.1.340"""
"""MW166085""","""B.1.340"""
"""ON174248""","""B.1.340"""
"""MW549804""","""B.1.340"""
"""MW874290""","""B.1.340"""
"""OL381434""","""B.1.340"""
"""OK659647""","""B.1.340"""
"""MW067702""","""B.1.340"""
"""MW420669""","""B.1.340"""
"""OL381458""","""B.1.340"""
"""MW522399""","""B.1.340"""
"""MW276373""","""B.1.340"""
"""MT956719""","""B.1.340"""
"""OX257056""","""BA.2.22"""
"""OX103047""","""BA.2.22"""
"""OW447677""","""BA.2.22"""
"""OW497385""","""BA.2.22"""
"""OW269610""","""BA.2.22"""
"""OW350811""","""BA.2.22"""
"""OW665277""","""BA.2.22"""
"""OW426088""","""BA.2.22"""
"""OW392543""","""BA.2.22"""
"""OW177772""","""BA.2.22"""
"""OW257590""","""BA.2.22"""
"""ON684439""","""BA.2.22"""
"""OW292503""","""BA.2.22"""
"""OX077036""","""BA.2.22"""
"""OW257135""","""BA.2.22"""
"""OW241834""","""BA.2.22"""
"""OW242464""","""BA.2.22"""
"""OW495460""","""BA.2.22"""
"""ON255428""","""BA.2.22"""
"""OW376911""","""BA.2.22"""
"""OW261327""","""BA.2.22"""
"""OW961174""","""BA.2.22"""
"""OW385454""","""BA.2.22"""
"""OW352991""","""BA.2.22"""
"""OW447055""","""BA.2.22"""
"""OW384954""","""BA.2.22"""
"""OW146279""","""BA.2.22"""
"""OW147048""","""BA.2.22"""
"""OX203435""","""BA.2.22"""
"""OW505786""","""BA.2.22"""
"""OW146105""","""BA.2.22"""
"""OW851979""","""BA.2.22"""
"""OW830560""","""BA.2.22"""
"""OW660757""","""BA.2.22"""
"""OW411230""","""BA.2.22"""
"""OW444644""","""BA.2.22"""
"""OW688958""","""BA.2.22"""
"""OW350021""","""BA.2.22"""
"""OW683368""","""BA.2.22"""
"""OW076584""","""BA.2.22"""
"""OW483930""","""BA.2.22"""
"""OW248121""","""BA.2.22"""
"""OX034275""","""BA.2.22"""
"""OW260088""","""BA.2.22"""
"""OX101456""","""BA.2.22"""
"""OX024633""","""BA.2.22"""
"""OW206398""","""BA.2.22"""
"""OW453796""","""BA.2.22"""
"""OW460697""","""BA.2.22"""
"""OW763377""","""BA.2.22"""
"""MW636757""","""B.1.1.518"""
"""MW586812""","""B.1.1.518"""
"""MW586531""","""B.1.1.518"""
"""MW634925""","""B.1.1.518"""
"""MW666843""","""B.1.1.518"""
"""MW635235""","""B.1.1.518"""
"""MW706420""","""B.1.1.518"""
"""ON340210""","""B.1.1.518"""
"""MW993662""","""B.1.1.518"""
"""MW634894""","""B.1.1.518"""
"""MZ911688""","""B.1.1.518"""
"""MW972750""","""B.1.1.518"""
"""MZ444333""","""B.1.1.518"""
"""OM897621""","""B.1.1.518"""
"""ON339751""","""B.1.1.518"""
"""ON344274""","""B.1.1.518"""
"""MZ722480""","""B.1.1.518"""
"""MZ622354""","""B.1.1.518"""
"""OM435799""","""B.1.1.518"""
"""ON135230""","""B.1.1.518"""
"""MZ722923""","""B.1.1.518"""
"""MZ722170""","""B.1.1.518"""
"""MZ622271""","""B.1.1.518"""
"""MZ908247""","""B.1.1.518"""
"""MW634872""","""B.1.1.518"""
"""MW972989""","""B.1.1.518"""
"""MZ908517""","""B.1.1.518"""
"""MW634675""","""B.1.1.518"""
"""MZ722330""","""B.1.1.518"""
"""OK548434""","""B.1.1.518"""
"""OL852515""","""B.1.1.518"""
"""MZ518347""","""B.1.1.518"""
"""OL372335""","""B.1.1.518"""
"""ON344127""","""B.1.1.518"""
"""ON344123""","""B.1.1.518"""
"""MW635781""","""B.1.1.518"""
"""MW599443""","""B.1.1.518"""
"""MZ908363""","""B.1.1.518"""
"""MZ636212""","""B.1.1.518"""
"""MZ722503""","""B.1.1.518"""
"""MZ636302""","""B.1.1.518"""
"""ON339993""","""B.1.1.518"""
"""MW973241""","""B.1.1.518"""
"""MW666229""","""B.1.1.518"""
"""MZ908034""","""B.1.1.518"""
"""OM898131""","""B.1.1.518"""
"""MW583334""","""B.1.1.518"""
"""OM110704""","""B.1.1.518"""
"""MW550423""","""B.1.1.518"""
"""MZ636100""","""B.1.1.518"""
"""ON544904""","""BA.2.42"""
"""ON871240""","""BA.2.42"""
"""ON976667""","""BA.2.42"""
"""ON661584""","""BA.2.42"""
"""ON837807""","""BA.2.42"""
"""ON956068""","""BA.2.42"""
"""ON658711""","""BA.2.42"""
"""ON803198""","""BA.2.42"""
"""ON719402""","""BA.2.42"""
"""ON677081""","""BA.2.42"""
"""ON520341""","""BA.2.42"""
"""ON711469""","""BA.2.42"""
"""ON906900""","""BA.2.42"""
"""OP035416""","""BA.2.42"""
"""ON837398""","""BA.2.42"""
"""ON759561""","""BA.2.42"""
"""ON718291""","""BA.2.42"""
"""ON735740""","""BA.2.42"""
"""OX025270""","""BA.2.42"""
"""OP036250""","""BA.2.42"""
"""ON942034""","""BA.2.42"""
"""ON965943""","""BA.2.42"""
"""OP123505""","""BA.2.42"""
"""ON544836""","""BA.2.42"""
"""OW641451""","""BA.2.42"""
"""ON980463""","""BA.2.42"""
"""ON946129""","""BA.2.42"""
"""ON913044""","""BA.2.42"""
"""ON679842""","""BA.2.42"""
"""ON939940""","""BA.2.42"""
"""ON948930""","""BA.2.42"""
"""ON846322""","""BA.2.42"""
"""ON716829""","""BA.2.42"""
"""ON695419""","""BA.2.42"""
"""ON690644""","""BA.2.42"""
"""ON719313""","""BA.2.42"""
"""OP147610""","""BA.2.42"""
"""OP077880""","""BA.2.42"""
"""ON826902""","""BA.2.42"""
"""ON764895""","""BA.2.42"""
"""ON978460""","""BA.2.42"""
"""ON606497""","""BA.2.42"""
"""ON875299""","""BA.2.42"""
"""ON678440""","""BA.2.42"""
"""OX219978""","""BA.2.42"""
"""ON780612""","""BA.2.42"""
"""ON858251""","""BA.2.42"""
"""ON716618""","""BA.2.42"""
"""ON771082""","""BA.2.42"""
"""ON879814""","""BA.2.42"""
"""OV320244""","""AY.4.2.5"""
"""OV420042""","""AY.4.2.5"""
"""OV591657""","""AY.4.2.5"""
"""OV441290""","""AY.4.2.5"""
"""OV354495""","""AY.4.2.5"""
"""OV549915""","""AY.4.2.5"""
"""OV544826""","""AY.4.2.5"""
"""OV601730""","""AY.4.2.5"""
"""OV346220""","""AY.4.2.5"""
"""OV098943""","""AY.4.2.5"""
"""OV345653""","""AY.4.2.5"""
"""OV168876""","""AY.4.2.5"""
"""OV521966""","""AY.4.2.5"""
"""OV053647""","""AY.4.2.5"""
"""OV513388""","""AY.4.2.5"""
"""OV157142""","""AY.4.2.5"""
"""OV533294""","""AY.4.2.5"""
"""OV132043""","""AY.4.2.5"""
"""OV483258""","""AY.4.2.5"""
"""OV368839""","""AY.4.2.5"""
"""OV505800""","""AY.4.2.5"""
"""OV490474""","""AY.4.2.5"""
"""OV515441""","""AY.4.2.5"""
"""OV437708""","""AY.4.2.5"""
"""OW101423""","""AY.4.2.5"""
"""OV227491""","""AY.4.2.5"""
"""OV586655""","""AY.4.2.5"""
"""OV267067""","""AY.4.2.5"""
"""OV490999""","""AY.4.2.5"""
"""OV433825""","""AY.4.2.5"""
"""OV333823""","""AY.4.2.5"""
"""OV396068""","""AY.4.2.5"""
"""OV321129""","""AY.4.2.5"""
"""OV182113""","""AY.4.2.5"""
"""OV516502""","""AY.4.2.5"""
"""OV047996""","""AY.4.2.5"""
"""OV283619""","""AY.4.2.5"""
"""OV129154""","""AY.4.2.5"""
"""OV316934""","""AY.4.2.5"""
"""OV407406""","""AY.4.2.5"""
"""OV628888""","""AY.4.2.5"""
"""OV448768""","""AY.4.2.5"""
"""OV249318""","""AY.4.2.5"""
"""OV177151""","""AY.4.2.5"""
"""OV529326""","""AY.4.2.5"""
"""OV044809""","""AY.4.2.5"""
"""OV279223""","""AY.4.2.5"""
"""OV297654""","""AY.4.2.5"""
"""OV259351""","""AY.4.2.5"""
"""OV529366""","""AY.4.2.5"""
"""OU168734""","""B.1.177.45"""
"""OU166693""","""B.1.177.45"""
"""OU169313""","""B.1.177.45"""
"""OU168649""","""B.1.177.45"""
"""OU163683""","""B.1.177.45"""
"""OU167128""","""B.1.177.45"""
"""OU168271""","""B.1.177.45"""
"""OU164304""","""B.1.177.45"""
"""OU168259""","""B.1.177.45"""
"""OU168747""","""B.1.177.45"""
"""OU167943""","""B.1.177.45"""
"""OU168770""","""B.1.177.45"""
"""OU166640""","""B.1.177.45"""
"""OU165679""","""B.1.177.45"""
"""OU165699""","""B.1.177.45"""
"""OU165495""","""B.1.177.45"""
"""OU168612""","""B.1.177.45"""
"""OU167723""","""B.1.177.45"""
"""OU166568""","""B.1.177.45"""
"""OU166173""","""B.1.177.45"""
"""OU165460""","""B.1.177.45"""
"""OU168292""","""B.1.177.45"""
"""OU167765""","""B.1.177.45"""
"""OU165547""","""B.1.177.45"""
"""OU168428""","""B.1.177.45"""
"""OU168067""","""B.1.177.45"""
"""OU164891""","""B.1.177.45"""
"""OU165403""","""B.1.177.45"""
"""OU169080""","""B.1.177.45"""
"""OU166166""","""B.1.177.45"""
"""OU163731""","""B.1.177.45"""
"""OU165501""","""B.1.177.45"""
"""OU168068""","""B.1.177.45"""
"""OU165967""","""B.1.177.45"""
"""OU166585""","""B.1.177.45"""
"""OU163780""","""B.1.177.45"""
"""OU167750""","""B.1.177.45"""
"""OU168484""","""B.1.177.45"""
"""OU169000""","""B.1.177.45"""
"""OU165640""","""B.1.177.45"""
"""OU169268""","""B.1.177.45"""
"""OU165582""","""B.1.177.45"""
"""OU168174""","""B.1.177.45"""
"""OU169088""","""B.1.177.45"""
"""ON278515""","""B.1.177.45"""
"""OU164559""","""B.1.177.45"""
"""OU163930""","""B.1.177.45"""
"""OU168852""","""B.1.177.45"""
"""OU166979""","""B.1.177.45"""
"""OU167452""","""B.1.177.45"""
"""OA966978""","""B.1.1.270"""
"""OA966851""","""B.1.1.270"""
"""OA980448""","""B.1.1.270"""
"""FR994423""","""B.1.1.270"""
"""FR999724""","""B.1.1.270"""
"""FR997917""","""B.1.1.270"""
"""FR995343""","""B.1.1.270"""
"""FR996098""","""B.1.1.270"""
"""FR999643""","""B.1.1.270"""
"""OA977947""","""B.1.1.270"""
"""OA966407""","""B.1.1.270"""
"""FR997274""","""B.1.1.270"""
"""OA981234""","""B.1.1.270"""
"""FR994349""","""B.1.1.270"""
"""OA964575""","""B.1.1.270"""
"""OA980395""","""B.1.1.270"""
"""FR997228""","""B.1.1.270"""
"""OA964031""","""B.1.1.270"""
"""FR999752""","""B.1.1.270"""
"""FR997249""","""B.1.1.270"""
"""FR999756""","""B.1.1.270"""
"""FR998955""","""B.1.1.270"""
"""OA975319""","""B.1.1.270"""
"""OA980976""","""B.1.1.270"""
"""FR999753""","""B.1.1.270"""
"""OA975296""","""B.1.1.270"""
"""OA980465""","""B.1.1.270"""
"""FR997324""","""B.1.1.270"""
"""OA971408""","""B.1.1.270"""
"""OA978467""","""B.1.1.270"""
"""OA966856""","""B.1.1.270"""
"""OA976223""","""B.1.1.270"""
"""OA980841""","""B.1.1.270"""
"""OA978367""","""B.1.1.270"""
"""FR996934""","""B.1.1.270"""
"""OA980472""","""B.1.1.270"""
"""FR998940""","""B.1.1.270"""
"""OA980459""","""B.1.1.270"""
"""FR998725""","""B.1.1.270"""
"""OU413311""","""B.1.1.270"""
"""FR997296""","""B.1.1.270"""
"""OA979338""","""B.1.1.270"""
"""FR998846""","""B.1.1.270"""
"""FR994397""","""B.1.1.270"""
"""FR997214""","""B.1.1.270"""
"""FR999763""","""B.1.1.270"""
"""FR997896""","""B.1.1.270"""
"""OA981242""","""B.1.1.270"""
"""OA980421""","""B.1.1.270"""
"""OA966419""","""B.1.1.270"""
"""MT320891""","""B.4"""
"""OA979264""","""B.4"""
"""MT291843""","""B.4"""
"""MW064912""","""B.4"""
"""MT641748""","""B.4"""
"""MT810483""","""B.4"""
"""MW190396""","""B.4"""
"""MT646036""","""B.4"""
"""MW546610""","""B.4"""
"""MW751132""","""B.4"""
"""OU279955""","""B.4"""
"""OU279942""","""B.4"""
"""MW433736""","""B.4"""
"""MT374104""","""B.4"""
"""MT370518""","""B.4"""
"""MT612312""","""B.4"""
"""MW064782""","""B.4"""
"""MT973391""","""B.4"""
